标题,租金,房型,租赁方式,装修,区域1,区域2,面积,朝向,住宅类型,小区名,地址,年代,容积率,绿化率,链接
高端小区 两房两厅 精装修  家电齐全,5000,2室2厅1卫,整租,精装修,宝山区,淞宝,100平米,南,普通住宅,宝山六村,永乐路115弄                                                    ,2006年,1.5,30%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1083936581
出门即是地铁6号线 精装全配拎包入住 付一压一,1000,1室1厅,整租,精装修,浦东新区,杨思,12平米,南,普通住宅,博学家园,杨南路1899弄                                                    ,2009年,2.5,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1083853567
西镇小区，精装两房，房间干净清爽，楼层佳,5600,2室1厅1卫,整租,精装修,浦东新区,洋泾,55平米,南,普通住宅,西镇小区,定水路50弄                                                    ,1991年,1.68,54%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1076151797
森林一房+精装全配+近菜场+近五彩城+交通便利配套好+随时看,3500,1室2厅1卫,整租,精装修,嘉定区,南翔新城,69平米,南,普通住宅,森林公馆西区(金地格林世界),栖林路425弄                                                    ,2010年,1.5,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085470976
高品质 精装一房 朝南采光好 家电全配近步行街临万达 观景房,2600,1室2厅1卫,合租,精装修,浦东新区,周浦,54平米,南,普通住宅,东方晶华园,康沈路1758弄                                                    ,2007年,1.8,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085834677
新理想花园+新理想广场+家乐福+交通便利+素质住户+配套成型,2500,2室2厅1卫,合租,精装修,松江区,松江老城,89平米,南,公寓,新理想花园,荣乐西路758弄                                                    ,2013年,1.8,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1082965518
近11号+装修+交通便利+生活配套齐全整租,2500,2室2厅1卫,整租,毛坯,嘉定区,南翔新城,85平米,南北,普通住宅,宏立瑞园,宝翔路560弄                                                    ,2010年,1.8,30%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1082312338
婚房装修，品质小区，急租，随时看房，仅此一套，包物业 带车位,5000,3室2厅2卫,整租,精装修,松江区,九亭,134平米,南北,普通住宅,贝尚湾(公寓),涞寅路505弄                                                    ,2015年,暂无,50%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1080632481
2号线世纪公园站大.唐盛世花园08年小区物业完善带产权车位,8800,2室2厅1卫,整租,精装修,浦东新区,世纪公园,97平米,南,普通住宅,大唐盛世花园(二期),樱花路801弄                                                    ,2004年,1,44%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084236638
树园新村精 品三房出租 真 实照片 真 实 房源 紧邻易买得,3000,3室2厅2卫,整租,精装修,奉贤区,南桥,115平米,南北,普通住宅,树园新苑,运河北路200弄1-53号                                                    ,2012年,1.28,20%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1085097978
精装朝南主卧带独立阳台 近陆家嘴金融圈 近地铁 押一付一,2500,1室1厅1卫,合租,简单装修,浦东新区,塘桥,20平米,南北,公寓,南泉公寓,峨山路500弄                                                    ,2001年,4,20%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1085625557
来电立减 主卧出租 押一付一 0中介随时看房独立卫浴交通便利,3300,2室1厅1卫,合租,精装修,浦东新区,源深,34平米,南,普通住宅,陆家嘴美丽苑,羽山路383弄                                                    ,2006年,2.1,50%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085261078
地铁房100米内，7号线行知路站，精装两居，价格公道拎包入住,5000,2室1厅1卫,整租,精装修,宝山区,大场,87平米,南北,普通住宅,复星花园(一期),行知路50弄                                                    ,1996年,1.1,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085193672
视频：嚎宅典范、瑞安打造、高区3房、装修好、10/13号线,38000,3室2厅3卫,整租,豪华装修,黄浦区,新天地,190平米,南北,普通住宅,翠湖天地御苑,顺昌路168弄                                                    ,2006年,4,45%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084583187
电梯房 绿化好 免费冷饮和湿巾 车接车送 价格实惠 看房随时,6200,3室2厅1卫,整租,精装修,闵行区,古美,120平米,南,普通住宅,东苑怡景园,莲花路1058弄                                                    ,2003年,1.8,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084965100
精装全配，家具齐全，随时看房,3300,2室1卫,整租,精装修,浦东新区,曹路,55平米,南北,普通住宅,金海华城永华苑,龚华路35弄                                                    ,2015年,1.99,36%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085877165
万达城市公寓   精装修三房   品致小区  欢迎您的入住,6000,2室2厅1卫,整租,精装修,嘉定区,江桥,89平米,南北,普通住宅,万达城市公寓,鹤友路336弄                                                    ,2010年,暂无,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084193685
翠鑫苑 2200元 2室1厅1卫 精装修超大阳台，小区有泳池,2200,2室1厅1卫,整租,精装修,松江区,佘山,87平米,南北,普通住宅,翠鑫苑,千新公路1200弄                                                    ,2009年,1.2,30%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085176916
"下地铁站1号线就是小区,交通便利,房东自住,精装修,急租",6800,3室2厅1卫,整租,精装修,闵行区,梅陇,125平米,南北,普通住宅,上海欣苑西班牙名园,罗秀路1980弄                                                    ,2003年,2.2,50%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1081366284
绿中海明苑，放心好房，人气房源，有钥匙,4000,2室2厅1卫,整租,简单装修,青浦区,徐泾,93平米,南北,普通住宅,绿中海明苑,徐泾中路843弄                                                    ,暂无,1.06,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085765283
押一付一 0中介 采光好拎包入住 实拍图 紧邻地铁,1420,3室1厅1卫,合租,精装修,闵行区,漕宝,16平米,南,普通住宅,金汇豪庭,龙茗路2121弄                                                    ,2006年,2.5,50%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1083191383
"地铁11,16线，锦绣华都，精装全配、钥匙在手说看就看",5200,3室2厅1卫,整租,精装修,浦东新区,御桥,103平米,南北,普通住宅,锦绣华都,御衡路68弄                                                    ,2010年,1.73,50%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085286000
长桥六村  精装修房东自住 家具家电全配 老房子钥匙放这了,3300,1室1厅1卫,整租,中等装修,徐汇区,长桥,61平米,南,普通住宅,长桥六村,罗秀路620号                                                    ,1998年,1.9,34%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084908714
户型、临近地铁、随时入住、环境优美、楼层,5700,2室1厅1卫,整租,精装修,杨浦区,中原,56平米,南,普通住宅,市光三村,包头路                                                    ,1990年,1.9,25%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1083810228
地铁2号线金科路地铁口 精装朝南一室户 配置齐全 多套选择,1000,1室1厅1卫,整租,精装修,浦东新区,张江,38平米,南,普通住宅,蕉丽新村,高斯路986弄                                                    ,2004年,1.86,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1083439200
寿祥坊3房1厅，全明户型精装修，性价比超高，世外旁边急租,5300,3室1厅1卫,整租,精装修,徐汇区,康健,80平米,南,普通住宅,寿祥坊,桂林西街111弄29号                                                    ,1992年,1.8,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1082840130
13号线绿洲湖畔花园好楼层电梯三房中等装修急租带车位,6500,2室1厅1卫,整租,精装修,普陀区,长征,118平米,南北,普通住宅,绿洲湖畔花园,金沙江路1698弄                                                    ,2006年,2.4,55%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085903345
房子是租来的丨生活是享受的！精装大两房温馨又舒心，超大阳光房,3800,2室1厅1卫,整租,精装修,闵行区,航华,80平米,南,普通住宅,航华四村一二街坊,航华四村1-104号                                                    ,1995年,1.5,30%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085639849
滇池路历史文化遗产建筑室内装修别致干净素雅温馨小窝,12000,2室2厅1卫,整租,精装修,黄浦区,南京东路,60平米,南,老公房,滇池小区,江西中路374号                                                    ,1932年,暂无,0%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1085272145
"万体馆新出好房！实地拍摄！地铁1/4号线,低于市场价,有钥匙",3800,1室1厅1卫,整租,精装修,徐汇区,万体馆,48平米,南,普通住宅,天钥新村,中山南二路918弄                                                    ,1993年,1.6,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084109933
近地铁一号线精装一房!配套齐全!采光好!温馨舒适!拎包即住!,2300,2室1厅1卫,整租,精装修,闵行区,古美,65平米,南,普通住宅,南方新村,古美西路86弄                                                    ,1995年,2,42%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1083665015
业主被外派香港，房子买来还没住过，高区景观，全屋地暖,23000,3室2厅2卫,整租,精装修,黄浦区,蓬莱公园,149平米,南北,普通住宅,华府天地睿园,斜土东路68弄                                                    ,2014年,3,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084506910
世博七街坊  精装朝南主卧 三户合租 生活便利 出门地铁口,1650,1室1卫,合租,精装修,闵行区,浦江镇,20平米,南,普通住宅,世博家园七街坊,南江燕路69弄1-85号                                                    ,2006年,1.75,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085806690
嘉里华庭豪华装修景观房、空调加地暖、租金便宜、看房方便,35000,4室2厅3卫,整租,豪华装修,长宁区,新华路,238平米,南北,公寓,嘉里华庭,华山路1038弄163-171号                                                    ,2005年,暂无,53%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084772308
9号线无中介 精装月付 设施齐全 拎包入住 独立卫浴 实拍,2600,3室1厅1卫,合租,精装修,黄浦区,蓬莱公园,28平米,南,普通住宅,黄浦华庭,保屯路99弄                                                    ,2007年,3.4,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084632718
繁华地段 安静小区  此等佳位  奈何不动你的心吗,3800,2室2厅1卫,整租,精装修,闵行区,古美,80平米,南,普通住宅,古美六村,古美路440弄                                                    ,1998年,1.6,30%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1083343852
高档住宅 豪气大宅 彰显风范 高区纵观太平湖 人气地段,45000,4室2厅3卫,整租,豪华装修,黄浦区,新天地,301平米,南北,普通住宅,华府天地,马当路222弄                                                    ,2006年,3.2,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1083008440
急租 闹中取静 小区中心位置 看房好看 拎包入住 地铁,7200,1室2厅1卫,合租,精装修,普陀区,长寿,82平米,南,普通住宅,上海苏堤春晓名苑,长寿路800弄                                                    ,2006年,3,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1082452576
锦秋花园，看房方便，舒适三室，交通便利,5000,3室2厅1卫,整租,精装修,宝山区,上大,134平米,南,普通住宅,锦秋花园,锦秋路699弄                                                    ,2012年,1,38%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085722785
青春驿站 近9号线九亭地铁站 交通便利 精装修,4000,2室1厅1卫,整租,精装修,上海周边,昆山,60平米,南北,公寓,青春驿站,长江北路                                                    ,2007年,2.2,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084382823
